flexeme	lexeme	lila_lemma	wikibase_entry
a0491_230	a0491	87356	L221
a0492_231	a0492	87357	L222
a0498_232	a0498	87363	L223
a0500_233	a0500	87365	L224
a0501_234	a0501	87366	L225
a0502_235	a0502	87367	L226
a0505_236	a0505	87370	L227
a0506_237	a0506	87372	L228
a0508_238	a0508	87374	L229
a0509_239	a0509	87375	L230
a0511_240	a0511	87377	L231
a0512_241	a0512	87378	L232
a0513_242	a0513	87379	L233
a0516_243	a0516	87382	L234
a0516_244	a0516	87382	L235
a0517_245	a0517	87383	L236
a0518_246	a0518	87384	L237
a0519_247	a0519	87385	L238
a0519_248	a0519	87385	L239
a0521_249	a0521	87387	L240
a0522_250	a0522	87388	L241
a0525_251	a0525	87391	L242
a0526_252	a0526	87392	L243
a0527_253	a0527	87393	L244
a0530_254	a0530	87396	L245
a0535_255	a0535	87401	L246
a0536_256	a0536	87402	L247
a0537_257	a0537	87404	L248
a0537_sc_258	a0537_sc	87403	L249
a0541_259	a0541	87409	L250
a0542_260	a0542	87410	L251
a0545_261	a0545	87413	L252
a0546_262	a0546	87414	L253
a0553_263	a0553	87421	L254
a0556_266	a0556	87424	L255
a0557_267	a0557	87425	L256
a0559_268	a0559	87427	L257
a0560_269	a0560	87428	L258
a0560_270	a0560	87428	L259
a0560_271	a0560	87428	L260
a0560_272	a0560	87428	L261
a0561_273	a0561	87429	L262
a0564_274	a0564	87432	L263
a0565_275	a0565	87433	L264
a0567_276	a0567	87435	L265
a0567_277	a0567	87435	L266
a0573_278	a0573	87441	L267
a0574_279	a0574	87442	L268
